EXP;SimulationFolder;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Jam Density;Opt Density;N Generations;N Repeat;N Population;N MatingParents;k Selection;Mutation Probabilities;RMSE (NonMaked);MAE (NonMaked);RMSE (Masked);MAE (Masked);CTM RMSE (Masked);CTM MAE (Masked);GAFitness;CTMFitness
73;Scenario-5_test0_5-14;Scenario-5;test0;5-14;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.017771024162701127;0.00921442903945904;0.0032413351793525165;0.0014174861775215486;0.0031872851058510157;0.0011643535232479787;-0.005819433862636176;-0.006132225508881206
74;Scenario-5_test10_613-623;Scenario-5;test10;613-623;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.023712899812131795;0.016620973113631466;0.002807103670019887;0.0014463824679352595;0.002440852247510102;0.0011203367412303438;-0.002863372281325571;-0.004343923166837002
75;Scenario-5_test11_670-679;Scenario-5;test11;670-679;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.032308656241484775;0.02422906107473117;0.003118250214662937;0.0015214265611604694;0.002402928776803539;0.0009606085364905715;-0.004468400897054216;-0.006889371626281134
76;Scenario-5_test12_731-740;Scenario-5;test12;731-740;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.030044954887728494;0.01988019888867974;0.00461381853153662;0.0021936285675555204;0.004585786274383735;0.0019809863664597875;-0.007222018102684735;-0.00852850460236972
77;Scenario-5_test13_792-802;Scenario-5;test13;792-802;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.025103428437067678;0.01827304220756728;0.005634901372004843;0.0032149001188638768;0.004905714205417131;0.0022195945044509143;-0.006849811842758241;-0.01130107796701265
78;Scenario-5_test14_847-857;Scenario-5;test14;847-857;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.0404062584270248;0.02357753872410096;0.0039157801420844855;0.0020048306699175632;0.003937070648278523;0.001791777018816785;-0.0067783508401954564;-0.008210541883382062
79;Scenario-5_test15_926-935;Scenario-5;test15;926-935;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.017439748883661437;0.01323052140526142;0.005487341044273541;0.003279342082415758;0.005959322886023274;0.0026090634220047224;-0.008042481601603393;-0.00985114750255395
80;Scenario-5_test16_995-1005;Scenario-5;test16;995-1005;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.014219850804320578;0.010206158209712593;0.007025999442269981;0.003310902899508605;0.01608927508353789;0.006452661278920388;-0.008429874919637032;-0.026658132420459325
81;Scenario-5_test17_1037-1046;Scenario-5;test17;1037-1046;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.030953196852561295;0.02232316254592783;0.008821968658458622;0.0030298273111714555;0.003836224293111774;0.0014589065638694332;-0.0016031390326246675;-0.015871440242356726
82;Scenario-5_test18_1089-1098;Scenario-5;test18;1089-1098;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.020479201990362152;0.013123221841979121;0.004260611158332506;0.002070484961893733;0.0041320132352801655;0.0017891487002031736;-0.004131985790610871;-0.008589546504376681
83;Scenario-5_test19_1155-1165;Scenario-5;test19;1155-1165;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.05202031337949571;0.0341243133282603;0.003076879706277499;0.0012479559681913101;0.002651740326356514;0.0009696684340051208;-0.001032362231888084;-0.006009623440696911
84;Scenario-5_test1_68-78;Scenario-5;test1;68-78;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.025138437979383022;0.015459254622539647;0.00379537146024587;0.0019909443040951043;0.00406690176738448;0.0017604605690794788;-0.0040592037968155605;-0.006786861120775752
85;Scenario-5_test2_129-140;Scenario-5;test2;129-140;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03049188559806532;0.021064618316185394;0.0034541623289014328;0.0015964562424090596;0.0029040370948419806;0.0011202610325020197;-0.005169033410685243;-0.00657993566328532
86;Scenario-5_test3_192-202;Scenario-5;test3;192-202;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02549077879952788;0.016594001994799237;0.006010484925497031;0.002926724835906878;0.0030528101929065314;0.0011952572401752635;-0.0037295525972264694;-0.00688885883146389
87;Scenario-5_test4_258-268;Scenario-5;test4;258-268;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.025635741521575182;0.017546276243195512;0.0027487817569071685;0.0013033904259037038;0.0029761423467663762;0.0011166209636066353;-0.00366748958928772;-0.006846419142529979
88;Scenario-5_test5_324-334;Scenario-5;test5;324-334;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.021715595502241253;0.015996978838986698;0.005142470346114645;0.0024989902069009395;0.00812454099418367;0.003219807889376358;-0.00841654041873582;-0.014012432396658238
89;Scenario-5_test6_370-380;Scenario-5;test6;370-380;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.01890849184049165;0.011603765855695516;0.003584824568405314;0.0018518405407366323;0.004085366848014637;0.0018221819077811313;-0.005142677215320782;-0.006458416528031708
90;Scenario-5_test7_430-440;Scenario-5;test7;430-440;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.026422217517679508;0.017865186436060825;0.0051011801014977836;0.0028459472432380744;0.005099480436320829;0.002257123739949759;-0.007968177440782074;-0.009171126427545395
91;Scenario-5_test8_500-509;Scenario-5;test8;500-509;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.020674450561089155;0.01648027247696644;0.009409763081199991;0.004480018544291904;0.005487026373558052;0.0021785262586193534;-0.0051280687910562625;-0.017492489158288733
92;Scenario-5_test9_572-583;Scenario-5;test9;572-583;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.022143737260642046;0.016084800035934245;0.003545988260488384;0.001796030002954722;0.0026405463820657724;0.000958648750034167;-0.005028200514780818;-0.0072379462183719484
93;Scenario-6_test0_21-36;Scenario-6;test0;21-36;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.013285692159233317;0.008551743390484047;0.004939153661912838;0.0026400735788986184;0.006691317927413014;0.003322993187081588;-0.0031164418966802194;-0.009847125030024004
94;Scenario-6_test10_766-799;Scenario-6;test10;766-799;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02711475590973094;0.01787061605050463;0.0027719653269574155;0.0013128996939497772;0.003431665836108014;0.0014316332509608416;-0.004220403656429822;-0.006566391317692554
95;Scenario-6_test11_827-854;Scenario-6;test11;827-854;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.031661668008570766;0.023787482020490136;0.001991894931294305;0.000577606367227722;0.0029960497777031243;0.0010718294477990995;-0.0023760339252811217;-0.006718024159655608
96;Scenario-6_test12_891-922;Scenario-6;test12;891-922;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03227823707810525;0.020791369228109334;0.0034394648966299896;0.0016456083183673087;0.004109474085281222;0.0018217885937763922;-0.0041684878647890574;-0.0067204284697020425
97;Scenario-6_test13_955-982;Scenario-6;test13;955-982;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.019272730895507587;0.013716103276257236;0.004249560350045364;0.00204689571479551;0.00486952470038811;0.0021779346012697548;-0.0068585477042229625;-0.00812904562465833
98;Scenario-6_test14_1048-1080;Scenario-6;test14;1048-1080;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03598610860184624;0.02815895349635245;0.0028410311671563278;0.0008253152156591881;0.0029510670954181165;0.0008788026131985566;-0.006025675664960387;-0.006991996685309927
99;Scenario-6_test15_1133-1162;Scenario-6;test15;1133-1162;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.027688327391077606;0.018999401527363634;0.002748384833043683;0.0011203424785204907;0.004313722167103863;0.0019100277644656474;-0.0020774174590314507;-0.007555020686285909
100;Scenario-6_test1_112-144;Scenario-6;test1;112-144;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.0243227743360129;0.016201415145055402;0.004868766518825633;0.0025106703389835157;0.004956188647394962;0.0025504425800759525;-0.005489459605070167;-0.009486408104409792
101;Scenario-6_test2_201-217;Scenario-6;test2;201-217;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.014866924064745742;0.010339457795267258;0.005664615722011822;0.0029152400959579754;0.0071874289240070905;0.004017440001156618;-0.004325642997149927;-0.01059071041425163
102;Scenario-6_test3_280-314;Scenario-6;test3;280-314;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.014268985893631559;0.008908003840714742;0.0018824455744973392;0.0006622361514109435;0.0028314910049498307;0.0010284389827070264;-0.0038003020715133866;-0.0068060781792373065
103;Scenario-6_test4_341-373;Scenario-6;test4;341-373;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03397461504431849;0.025324658893421153;0.0021812104873817047;0.0008469782354817712;0.0025981136303848897;0.0010076416249259826;-0.0037440585465128577;-0.005923169383809557
104;Scenario-6_test5_408-439;Scenario-6;test5;408-439;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02512365279974211;0.01640268081363488;0.004088656058966488;0.0017236917163229173;0.004976519694199178;0.0023135788364581945;-0.006779519333144664;-0.008915135072772116
105;Scenario-6_test6_478-508;Scenario-6;test6;478-508;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.017691166250068436;0.012073206043853524;0.005684278142289274;0.0031865964732316235;0.0066457488880352815;0.003828429437840467;-0.005383783407180175;-0.008742252967765728
106;Scenario-6_test7_568-600;Scenario-6;test7;568-600;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.044189448904453796;0.0363515821842877;0.002313801778062797;0.0007153194544752741;0.0024501997318901922;0.0006840403805650955;-0.0040426512036893176;-0.007259323989622413
